Virginia, Precipitation
Units: Inches
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,2.59,-0.77
201502,2.66,-1.15
201503,3.75,0.59
201504,4.51,0.54
201505,2.15,-2.86
201506,6.95,1.99
201507,5.05,0.40
201508,2.65,-2.21
201509,5.73,1.09
201510,4.58,0.04
201511,3.92,0.88
201512,5.22,1.71
201601,2.93,-0.43
201602,4.71,0.90
201603,2.05,-1.11
201604,2.34,-1.63
201605,6.92,1.91
201606,5.04,0.08
201607,4.82,0.17
201608,3.23,-1.63
201609,5.27,0.63
201610,3.52,-1.02
201611,1.37,-1.67
201612,3.21,-0.30
201701,3.96,0.60
201702,0.86,-2.95
201703,3.17,0.01
201704,4.85,0.88
201705,7.52,2.51
201706,3.41,-1.55
201707,4.13,-0.52
201708,4.66,-0.20
201709,2.03,-2.61
201710,4.50,-0.04
201711,1.36,-1.68
201712,1.11,-2.40
201801,2.67,-0.69
201802,4.35,0.54
201803,3.17,0.01
201804,4.43,0.46
201805,7.27,2.26
201806,5.96,1.00
201807,5.39,0.74
201808,5.81,0.95
201809,7.96,3.32
201810,5.08,0.54
201811,6.08,3.04
201812,5.36,1.85
201901,3.52,0.16
201902,5.23,1.42
201903,3.31,0.15
201904,4.16,0.19
201905,3.60,-1.41
201906,5.81,0.85
201907,4.51,-0.14
201908,3.43,-1.43
201909,0.94,-3.70
201910,5.63,1.09
201911,2.48,-0.56
201912,3.38,-0.13
202001,3.55,0.19
202002,5.01,1.20
202003,2.93,-0.23
202004,5.98,2.01
202005,4.87,-0.14
202006,5.13,0.17
202007,4.07,-0.58
202008,8.20,3.34
202009,6.31,1.67
202010,5.06,0.52
202011,5.15,2.11
202012,5.14,1.63
202101,3.14,-0.22
202102,4.90,1.09
202103,3.47,0.31
202104,2.73,-1.24
202105,2.20,-2.81
202106,4.09,-0.87
202107,4.56,-0.09
202108,6.05,1.19
202109,4.22,-0.42
202110,3.40,-1.14
202111,0.94,-2.10
202112,1.16,-2.35
202201,4.51,1.15
202202,2.79,-1.02
202203,3.44,0.28
202204,2.76,-1.21
202205,5.53,0.52
202206,3.27,-1.69
