Washington, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,40.6,6.2
201502,48.3,8.0
201503,55.0,7.4
201504,57.2,1.3
201505,67.6,4.0
201506,79.2,9.3
201507,82.2,4.4
201508,80.1,2.9
201509,67.9,-1.4
201510,62.2,5.0
201511,43.1,-0.1
201512,37.0,0.9
201601,37.9,3.5
201602,46.5,6.2
201603,50.4,2.8
201604,63.3,7.4
201605,66.4,2.8
201606,72.2,2.3
201607,75.5,-2.3
201608,79.7,2.5
201609,68.1,-1.2
201610,54.4,-2.8
201611,49.2,6.0
201612,32.1,-4.0
201701,30.9,-3.5
201702,37.7,-2.6
201703,46.3,-1.3
201704,53.2,-2.7
201705,65.5,1.9
201706,71.5,1.6
201707,81.7,3.9
201708,83.1,5.9
201709,71.9,2.6
201710,56.4,-0.8
201711,43.4,0.2
201712,35.1,-1.0
201801,40.2,5.8
201802,39.8,-0.5
201803,47.9,0.3
201804,54.8,-1.1
201805,69.3,5.7
201806,69.9,0.0
201807,82.0,4.2
201808,79.3,2.1
201809,68.1,-1.2
201810,57.5,0.3
201811,45.3,2.1
201812,38.4,2.3
201901,40.0,5.6
201902,32.0,-8.3
201903,46.6,-1.0
201904,55.8,-0.1
201905,67.0,3.4
201906,71.6,1.7
201907,75.9,-1.9
201908,79.2,2.0
201909,66.6,-2.7
201910,52.3,-4.9
201911,45.4,2.2
201912,37.9,1.8
202001,39.5,5.1
202002,43.8,3.5
202003,47.8,0.2
202004,57.4,1.5
202005,64.3,0.7
202006,68.6,-1.3
202007,78.0,0.2
202008,79.5,2.3
202009,73.3,4.0
202010,58.0,0.8
202011,44.3,1.1
202012,39.2,3.1
202101,40.0,5.6
202102,37.5,-2.8
202103,50.0,2.4
202104,59.3,3.4
202105,64.8,1.2
202106,77.8,7.9
202107,83.9,6.1
202108,78.4,1.2
202109,69.7,0.4
202110,55.6,-1.6
202111,46.1,2.9
202112,35.0,-1.1
202201,37.0,2.6
202202,41.9,1.6
202203,50.1,2.5
202204,50.2,-5.7
202205,57.9,-5.7
202206,68.5,-1.4
