Washington, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-0.58
201502,-0.89
201503,-1.09
201504,-1.48
201505,-1.86
201506,-2.79
201507,-3.76
201508,-3.73
201509,-3.61
201510,-3.41
201511,0.31
201512,1.91
201601,1.91
201602,1.66
201603,2.41
201604,-0.93
201605,-1.39
201606,-1.56
201607,-1.66
201608,-2.09
201609,-2.03
201610,2.31
201611,2.28
201612,1.46
201701,0.59
201702,1.47
201703,2.97
201704,3.66
201705,0.02
201706,-0.21
201707,-0.84
201708,-1.68
201709,-1.98
201710,0.38
201711,1.21
201712,-0.54
201801,-0.07
201802,-0.14
201803,-0.56
201804,1.21
201805,-0.82
201806,-1.20
201807,-2.06
201808,-2.67
201809,-2.61
201810,-2.52
201811,-2.57
201812,-2.21
201901,-2.49
201902,-2.41
201903,-3.23
201904,-2.66
201905,-2.75
201906,-3.01
201907,-3.09
201908,-3.09
201909,-2.01
201910,-1.58
201911,-2.67
201912,-2.81
202001,1.26
202002,1.13
202003,-0.59
202004,-1.26
202005,0.54
202006,0.77
202007,0.76
202008,0.26
202009,0.29
202010,0.24
202011,0.31
202012,0.03
202101,0.35
202102,0.73
202103,-0.81
202104,-1.68
202105,-2.10
202106,-2.60
202107,-3.66
202108,-3.99
202109,0.44
202110,0.86
202111,1.70
202112,1.43
202201,1.44
202202,0.73
202203,0.17
202204,1.16
202205,2.09
202206,2.77
