Washington, Precipitation
Units: Inches
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,4.96,-1.56
201502,4.30,-0.56
201503,4.32,0.16
201504,1.82,-1.20
201505,1.51,-0.63
201506,0.47,-1.24
201507,0.42,-0.03
201508,1.33,0.72
201509,1.50,-0.68
201510,4.18,-0.99
201511,7.02,0.53
201512,11.42,4.78
201601,6.82,0.30
201602,5.08,0.22
201603,6.99,2.83
201604,1.60,-1.42
201605,1.54,-0.60
201606,1.83,0.12
201607,1.16,0.71
201608,0.36,-0.25
201609,1.67,-0.51
201610,10.29,5.12
201611,6.87,0.38
201612,4.93,-1.71
201701,3.64,-2.88
201702,7.17,2.31
201703,8.53,4.37
201704,4.88,1.86
201705,2.42,0.28
201706,1.55,-0.16
201707,0.04,-0.41
201708,0.14,-0.47
201709,1.35,-0.83
201710,5.06,-0.11
201711,8.86,2.37
201712,5.09,-1.55
201801,7.74,1.22
201802,4.39,-0.47
201803,3.29,-0.87
201804,5.47,2.45
201805,1.08,-1.06
201806,1.36,-0.35
201807,0.17,-0.28
201808,0.35,-0.26
201809,1.59,-0.59
201810,3.65,-1.52
201811,5.21,-1.28
201812,7.02,0.38
201901,4.51,-2.01
201902,4.09,-0.77
201903,1.41,-2.75
201904,3.50,0.48
201905,1.82,-0.32
201906,1.05,-0.66
201907,0.91,0.46
201908,0.94,0.33
201909,3.62,1.44
201910,3.79,-1.38
201911,1.85,-4.64
201912,5.58,-1.06
202001,10.52,4.00
202002,4.92,0.06
202003,2.83,-1.33
202004,1.37,-1.65
202005,3.52,1.38
202006,2.39,0.68
202007,0.38,-0.07
202008,0.45,-0.16
202009,2.42,0.24
202010,3.99,-1.18
202011,6.40,-0.09
202012,6.06,-0.58
202101,7.37,0.85
202102,5.73,0.87
202103,2.44,-1.72
202104,0.99,-2.03
202105,1.23,-0.91
202106,1.41,-0.30
202107,0.06,-0.39
202108,0.68,0.07
202109,3.12,0.94
202110,5.26,0.09
202111,9.22,2.73
202112,6.38,-0.26
202201,6.59,0.07
202202,3.19,-1.67
202203,3.44,-0.72
202204,4.49,1.47
202205,4.00,1.86
202206,3.61,1.90
