Washington, Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,35.1,2.3
201502,40.7,7.1
201503,44.8,4.8
201504,45.7,-0.1
201505,56.0,1.9
201506,65.5,5.1
201507,68.6,2.0
201508,66.6,-0.3
201509,56.2,-2.1
201510,52.4,4.3
201511,36.0,-2.6
201512,32.1,1.0
201601,33.0,0.2
201602,39.1,5.5
201603,41.8,1.8
201604,51.6,5.8
201605,55.1,1.0
201606,59.9,-0.5
201607,63.6,-3.0
201608,65.9,-1.0
201609,56.4,-1.9
201610,47.4,-0.7
201611,43.0,4.4
201612,26.1,-5.0
201701,24.8,-8.0
201702,31.0,-2.6
201703,39.3,-0.7
201704,44.2,-1.6
201705,53.7,-0.4
201706,59.5,-0.9
201707,67.1,0.5
201708,68.6,1.7
201709,59.8,1.5
201710,46.2,-1.9
201711,37.7,-0.9
201712,29.9,-1.2
201801,35.4,2.6
201802,32.4,-1.2
201803,38.8,-1.2
201804,45.3,-0.5
201805,57.6,3.5
201806,58.2,-2.2
201807,67.5,0.9
201808,66.0,-0.9
201809,56.3,-2.0
201810,47.4,-0.7
201811,38.6,0.0
201812,33.1,2.0
201901,34.2,1.4
201902,25.3,-8.3
201903,36.2,-3.8
201904,46.3,0.5
201905,55.6,1.5
201906,59.5,-0.9
201907,63.8,-2.8
201908,66.4,-0.5
201909,57.1,-1.2
201910,42.8,-5.3
201911,37.6,-1.0
201912,33.5,2.4
202001,34.2,1.4
202002,35.6,2.0
202003,38.3,-1.7
202004,46.0,0.2
202005,53.3,-0.8
202006,57.9,-2.5
202007,64.8,-1.8
202008,65.7,-1.2
202009,61.2,2.9
202010,48.4,0.3
202011,37.6,-1.0
202012,33.7,2.6
202101,34.6,1.8
202102,31.3,-2.3
202103,39.7,-0.3
202104,46.8,1.0
202105,52.7,-1.4
202106,64.6,4.2
202107,69.7,3.1
202108,65.9,-1.0
202109,58.0,-0.3
202110,46.6,-1.5
202111,39.9,1.3
202112,29.4,-1.7
202201,31.2,-1.6
202202,33.6,0.0
202203,41.4,1.4
202204,40.7,-5.1
202205,48.4,-5.7
202206,57.9,-2.5
202207,68.0,1.4
202208,69.8,2.9
202209,61.7,3.4
202210,53.9,5.8
