West Virginia, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,37.3,-2.6
201502,33.6,-9.3
201503,51.4,-0.8
201504,65.7,2.3
201505,78.3,4.9
201506,80.7,0.7
201507,82.0,-1.4
201508,81.4,-0.2
201509,78.0,1.6
201510,65.2,-0.6
201511,59.7,6.9
201512,55.9,13.7
201601,37.8,-2.1
201602,44.0,1.1
201603,60.7,8.5
201604,66.8,3.4
201605,70.4,-3.0
201606,81.4,1.4
201607,84.1,0.7
201608,85.3,3.7
201609,82.3,5.9
201610,69.1,3.3
201611,57.7,4.9
201612,44.1,1.9
201701,44.9,5.0
201702,53.4,10.5
201703,53.2,1.0
201704,69.8,6.4
201705,72.0,-1.4
201706,79.7,-0.3
201707,83.1,-0.3
201708,80.3,-1.3
201709,75.7,-0.7
201710,70.0,4.2
201711,53.8,1.0
201712,42.1,-0.1
201801,37.3,-2.6
201802,51.7,8.8
201803,47.1,-5.1
201804,59.6,-3.8
201805,80.0,6.6
201806,80.6,0.6
201807,83.9,0.5
201808,82.2,0.6
201809,78.8,2.4
201810,65.1,-0.7
201811,48.5,-4.3
201812,44.8,2.6
201901,39.8,-0.1
201902,48.4,5.5
201903,51.2,-1.0
201904,67.5,4.1
201905,76.9,3.5
201906,78.3,-1.7
201907,85.3,1.9
201908,83.2,1.6
201909,83.6,7.2
201910,69.8,4.0
201911,50.5,-2.3
201912,48.0,5.8
202001,45.7,5.8
202002,47.6,4.7
202003,58.5,6.3
202004,60.3,-3.1
202005,69.0,-4.4
202006,79.6,-0.4
202007,87.4,4.0
202008,82.5,0.9
202009,75.0,-1.4
202010,66.6,0.8
202011,59.8,7.0
202012,42.6,0.4
202101,39.4,-0.5
202102,39.4,-3.5
202103,59.8,7.6
202104,64.0,0.6
202105,71.5,-1.9
202106,80.6,0.6
202107,83.4,0.0
202108,84.4,2.8
202109,76.6,0.2
202110,69.4,3.6
202111,52.0,-0.8
202112,54.0,11.8
202201,36.9,-3.0
202202,47.3,4.4
202203,57.6,5.4
202204,63.4,0.0
202205,75.3,1.9
202206,81.2,1.2
