West Virginia, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,20.3,-0.9
201502,12.2,-10.2
201503,28.6,-1.4
201504,40.5,2.1
201505,51.1,3.5
201506,60.2,4.1
201507,62.2,1.9
201508,58.5,-0.6
201509,56.1,3.7
201510,42.8,2.0
201511,37.0,5.7
201512,36.7,12.8
201601,17.4,-3.8
201602,25.8,3.4
201603,36.4,6.4
201604,39.1,0.7
201605,48.7,1.1
201606,57.5,1.4
201607,63.3,3.0
201608,64.8,5.7
201609,56.4,4.0
201610,45.5,4.7
201611,33.5,2.2
201612,27.2,3.3
201701,30.2,9.0
201702,30.9,8.5
201703,31.3,1.3
201704,45.1,6.7
201705,49.9,2.3
201706,55.7,-0.4
201707,61.7,1.4
201708,58.3,-0.8
201709,53.6,1.2
201710,45.0,4.2
201711,32.7,1.4
201712,23.8,-0.1
201801,16.8,-4.4
201802,31.7,9.3
201803,28.8,-1.2
201804,35.6,-2.8
201805,55.6,8.0
201806,59.4,3.3
201807,61.1,0.8
201808,62.7,3.6
201809,62.0,9.6
201810,45.4,4.6
201811,31.5,0.2
201812,28.5,4.6
201901,24.2,3.0
201902,28.6,6.2
201903,28.9,-1.1
201904,42.3,3.9
201905,54.0,6.4
201906,56.9,0.8
201907,63.3,3.0
201908,59.8,0.7
201909,56.4,4.0
201910,45.6,4.8
201911,28.0,-3.3
201912,28.9,5.0
202001,28.8,7.6
202002,28.4,6.0
202003,37.2,7.2
202004,37.5,-0.9
202005,46.7,-0.9
202006,56.7,0.6
202007,63.9,3.6
202008,62.6,3.5
202009,53.4,1.0
202010,44.3,3.5
202011,35.1,3.8
202012,26.0,2.1
202101,25.9,4.7
202102,23.7,1.3
202103,31.8,1.8
202104,38.5,0.1
202105,45.9,-1.7
202106,57.6,1.5
202107,60.9,0.6
202108,63.5,4.4
202109,54.5,2.1
202110,49.4,8.6
202111,29.8,-1.5
202112,31.3,7.4
202201,17.8,-3.4
202202,23.4,1.0
202203,31.6,1.6
202204,38.2,-0.2
202205,50.8,3.2
202206,56.3,0.2
