West Virginia, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,0.25
201502,0.11
201503,0.77
201504,1.77
201505,0.59
201506,1.32
201507,2.00
201508,-0.54
201509,-0.25
201510,-0.29
201511,-0.75
201512,-0.36
201601,-0.63
201602,-0.30
201603,-1.26
201604,-1.58
201605,0.80
201606,1.59
201607,0.00
201608,-0.45
201609,-0.90
201610,-0.90
201611,-1.59
201612,0.47
201701,0.98
201702,-0.91
201703,0.10
201704,0.03
201705,0.80
201706,0.99
201707,1.56
201708,-0.19
201709,-0.74
201710,0.75
201711,-0.13
201712,-0.67
201801,-0.68
201802,1.60
201803,1.56
201804,2.14
201805,2.30
201806,2.89
201807,2.61
201808,3.10
201809,5.53
201810,5.55
201811,6.07
201812,6.16
201901,5.79
201902,6.25
201903,5.03
201904,4.38
201905,4.19
201906,4.20
201907,3.56
201908,3.02
201909,1.19
201910,1.54
201911,1.22
201912,1.74
202001,1.60
202002,2.40
202003,1.87
202004,3.08
202005,3.52
202006,3.65
202007,2.87
202008,3.17
202009,2.84
202010,2.76
202011,2.35
202012,2.50
202101,2.01
202102,2.23
202103,-0.17
202104,-0.37
202105,-0.68
202106,-0.32
202107,-0.95
202108,0.40
202109,0.93
202110,0.88
202111,-0.50
202112,-0.99
202201,0.72
202202,1.20
202203,-0.81
202204,-0.91
202205,0.51
202206,0.63
