West Virginia, Precipitation
Units: Inches
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,2.41,-1.10
201502,2.74,-1.49
201503,5.36,1.68
201504,6.34,1.91
201505,2.36,-2.75
201506,6.43,0.99
201507,6.46,1.52
201508,2.71,-1.68
201509,4.05,0.26
201510,2.76,-1.18
201511,2.28,-0.29
201512,4.72,0.78
201601,2.61,-0.90
201602,3.65,-0.58
201603,2.53,-1.15
201604,2.91,-1.52
201605,6.01,0.90
201606,6.26,0.82
201607,4.93,-0.01
201608,3.63,-0.76
201609,2.86,-0.93
201610,3.53,-0.41
201611,1.87,-0.70
201612,4.57,0.63
201701,4.80,1.29
201702,1.75,-2.48
201703,4.31,0.63
201704,4.35,-0.08
201705,6.16,1.05
201706,4.70,-0.74
201707,6.17,1.23
201708,3.39,-1.00
201709,1.91,-1.88
201710,5.26,1.32
201711,2.34,-0.23
201712,1.87,-2.07
201801,3.11,-0.40
201802,6.85,2.62
201803,3.97,0.29
201804,4.95,0.52
201805,6.16,1.05
201806,6.24,0.80
201807,4.79,-0.15
201808,5.89,1.50
201809,9.41,5.62
201810,3.95,0.01
201811,4.85,2.28
201812,4.93,0.99
201901,3.86,0.35
201902,5.48,1.25
201903,2.62,-1.06
201904,3.85,-0.58
201905,5.54,0.43
201906,5.06,-0.38
201907,4.58,-0.36
201908,3.83,-0.56
201909,0.68,-3.11
201910,5.26,1.32
201911,2.59,0.02
201912,4.89,0.95
202001,3.65,0.14
202002,5.27,1.04
202003,4.04,0.36
202004,6.55,2.12
202005,5.70,0.59
202006,5.24,-0.20
202007,4.34,-0.60
202008,5.69,1.30
202009,3.05,-0.74
202010,3.47,-0.47
202011,2.72,0.15
202012,4.05,0.11
202101,2.78,-0.73
202102,3.85,-0.38
202103,4.07,0.39
202104,3.22,-1.21
202105,3.12,-1.99
202106,4.94,-0.50
202107,3.31,-1.63
202108,5.56,1.17
202109,4.54,0.75
202110,3.34,-0.60
202111,1.32,-1.25
202112,2.53,-1.41
202201,4.86,1.35
202202,4.26,0.03
202203,2.53,-1.15
202204,3.23,-1.20
202205,5.79,0.68
202206,4.61,-0.83
