West Virginia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,28.8,-2.5
201502,22.9,-12.7
201503,40.0,-3.4
201504,53.1,0.9
201505,64.7,2.4
201506,70.5,1.6
201507,72.1,-1.1
201508,69.9,-2.2
201509,67.1,0.2
201510,54.0,-1.9
201511,48.3,4.8
201512,46.3,8.2
201601,27.6,-3.7
201602,34.9,-0.7
201603,48.5,5.1
201604,53.0,0.8
201605,59.5,-2.8
201606,69.5,0.6
201607,73.7,0.5
201608,75.1,3.0
201609,69.4,2.5
201610,57.3,1.4
201611,45.6,2.1
201612,35.6,-2.5
201701,37.5,6.2
201702,42.1,6.5
201703,42.3,-1.1
201704,57.5,5.3
201705,61.0,-1.3
201706,67.7,-1.2
201707,72.4,-0.8
201708,69.3,-2.8
201709,64.6,-2.3
201710,57.5,1.6
201711,43.2,-0.3
201712,33.0,-5.1
201801,27.0,-4.3
201802,41.7,6.1
201803,38.0,-5.4
201804,47.7,-4.5
201805,67.9,5.6
201806,70.0,1.1
201807,72.5,-0.7
201808,72.4,0.3
201809,70.4,3.5
201810,55.3,-0.6
201811,40.0,-3.5
201812,36.7,-1.4
201901,32.0,0.7
201902,38.5,2.9
201903,40.1,-3.3
201904,54.9,2.7
201905,65.5,3.2
201906,67.6,-1.3
201907,74.3,1.1
201908,71.5,-0.6
201909,70.0,3.1
201910,57.7,1.8
201911,39.3,-4.2
201912,38.5,0.4
202001,37.3,6.0
202002,38.0,2.4
202003,47.8,4.4
202004,48.9,-3.3
202005,57.8,-4.5
202006,68.1,-0.8
202007,75.6,2.4
202008,72.5,0.4
202009,64.2,-2.7
202010,55.4,-0.5
202011,47.5,4.0
202012,34.3,-3.8
202101,32.6,1.3
202102,31.6,-4.0
202103,45.8,2.4
202104,51.3,-0.9
202105,58.7,-3.6
202106,69.2,0.3
202107,72.2,-1.0
202108,74.0,1.9
202109,65.5,-1.4
202110,59.4,3.5
202111,40.9,-2.6
202112,42.6,4.5
202201,27.3,-4.0
202202,35.4,-0.2
202203,44.6,1.2
202204,50.8,-1.4
202205,63.0,0.7
202206,68.8,-0.1
202207,73.0,-0.2
202208,71.8,-0.3
202209,64.2,-2.7
202210,50.4,-5.5
