Wisconsin, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,22.9,1.0
201502,18.0,-8.7
201503,42.3,4.0
201504,57.3,3.4
201505,68.3,1.3
201506,75.0,-1.0
201507,79.7,-1.1
201508,76.3,-1.8
201509,75.2,5.9
201510,59.0,1.5
201511,48.2,8.5
201512,37.1,10.8
201601,23.7,1.8
201602,31.0,4.3
201603,46.0,7.7
201604,53.3,-0.6
201605,68.8,1.8
201606,77.3,1.3
201607,80.6,-0.2
201608,79.6,1.5
201609,72.1,2.8
201610,60.3,2.8
201611,51.2,11.5
201612,26.2,-0.1
201701,26.4,4.5
201702,37.4,10.7
201703,39.3,1.0
201704,57.5,3.6
201705,64.1,-2.9
201706,77.2,1.2
201707,80.1,-0.7
201708,74.7,-3.4
201709,73.8,4.5
201710,59.6,2.1
201711,39.5,-0.2
201712,24.8,-1.5
201801,24.5,2.6
201802,26.6,-0.1
201803,40.2,1.9
201804,44.8,-9.1
201805,74.9,7.9
201806,77.0,1.0
201807,81.4,0.6
201808,79.2,1.1
201809,71.3,2.0
201810,52.1,-5.4
201811,33.4,-6.3
201812,31.6,5.3
201901,21.3,-0.6
201902,23.3,-3.4
201903,37.0,-1.3
201904,52.7,-1.2
201905,62.3,-4.7
201906,75.2,-0.8
201907,82.1,1.3
201908,76.6,-1.5
201909,70.9,1.6
201910,53.5,-4.0
201911,34.4,-5.3
201912,31.3,5.0
202001,28.7,6.8
202002,30.0,3.3
202003,42.7,4.4
202004,51.7,-2.2
202005,65.0,-2.0
202006,78.6,2.6
202007,82.8,2.0
202008,79.7,1.6
202009,67.4,-1.9
202010,50.4,-7.1
202011,48.1,8.4
202012,32.0,5.7
202101,27.5,5.6
202102,21.0,-5.7
202103,47.8,9.5
202104,55.9,2.0
202105,66.4,-0.6
202106,81.4,5.4
202107,80.9,0.1
202108,80.4,2.3
202109,73.4,4.1
202110,63.0,5.5
202111,43.0,3.3
202112,33.2,6.9
202201,19.6,-2.3
202202,25.8,-0.9
202203,38.8,0.5
202204,47.9,-6.0
202205,68.1,1.1
202206,77.5,1.5
