Wisconsin, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,0.53,-0.62
201502,0.42,-0.61
201503,0.73,-1.07
201504,2.94,0.31
201505,4.65,1.11
201506,4.44,0.27
201507,3.38,-0.41
201508,4.00,0.22
201509,4.39,0.64
201510,2.70,0.32
201511,3.42,1.42
201512,4.28,3.01
201601,0.84,-0.31
201602,0.82,-0.21
201603,3.93,2.13
201604,2.21,-0.42
201605,3.06,-0.48
201606,5.36,1.19
201607,5.20,1.41
201608,5.21,1.43
201609,5.99,2.24
201610,2.95,0.57
201611,1.84,-0.16
201612,1.98,0.71
201701,2.03,0.88
201702,1.34,0.31
201703,1.99,0.19
201704,4.59,1.96
201705,4.94,1.40
201706,5.94,1.77
201707,4.46,0.67
201708,4.10,0.32
201709,1.90,-1.85
201710,4.30,1.92
201711,0.91,-1.09
201712,1.07,-0.20
201801,1.20,0.05
201802,1.51,0.48
201803,0.92,-0.88
201804,2.53,-0.10
201805,4.70,1.16
201806,5.44,1.27
201807,3.11,-0.68
201808,6.07,2.29
201809,5.52,1.77
201810,5.25,2.87
201811,1.94,-0.06
201812,1.55,0.28
201901,1.43,0.28
201902,3.12,2.09
201903,1.34,-0.46
201904,3.72,1.09
201905,5.56,2.02
201906,3.91,-0.26
201907,5.33,1.54
201908,3.54,-0.24
201909,7.03,3.28
201910,4.88,2.50
201911,2.03,0.03
201912,2.66,1.39
202001,1.34,0.19
202002,0.68,-0.35
202003,3.04,1.24
202004,2.27,-0.36
202005,3.97,0.43
202006,5.00,0.83
202007,5.55,1.76
202008,3.33,-0.45
202009,3.17,-0.58
202010,3.00,0.62
202011,2.06,0.06
202012,0.78,-0.49
202101,0.84,-0.31
202102,0.88,-0.15
202103,1.87,0.07
202104,2.36,-0.27
202105,2.99,-0.55
202106,3.90,-0.27
202107,4.36,0.57
202108,5.46,1.68
202109,2.07,-1.68
202110,2.02,-0.36
202111,1.24,-0.76
202112,1.91,0.64
202201,0.49,-0.66
202202,0.65,-0.38
202203,3.19,1.39
202204,3.38,0.75
202205,3.89,0.35
202206,3.03,-1.14
202207,3.62,-0.17
202208,4.89,1.11
202209,2.74,-1.01
202210,1.16,-1.22
