Wisconsin, Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,15.3,-1.0
201502,7.6,-9.0
201503,30.7,-1.0
201504,45.0,3.1
201505,56.6,0.8
201506,63.8,-2.0
201507,68.4,-1.5
201508,66.1,-1.3
201509,64.7,3.3
201510,48.4,1.0
201511,39.4,5.1
201512,31.8,8.0
201601,16.2,-0.1
201602,22.6,6.0
201603,36.8,5.1
201604,42.9,1.0
201605,56.1,0.3
201606,65.8,0.0
201607,69.9,0.0
201608,69.5,2.1
201609,62.6,1.2
201610,50.4,3.0
201611,41.6,7.3
201612,19.9,-3.9
201701,19.4,3.1
201702,27.8,11.2
201703,30.2,-1.5
201704,46.4,4.5
201705,53.3,-2.5
201706,65.6,-0.2
201707,68.8,-1.1
201708,64.2,-3.2
201709,62.2,0.8
201710,50.0,2.6
201711,31.4,-2.9
201712,17.3,-6.5
201801,15.2,-1.1
201802,16.1,-0.5
201803,29.7,-2.0
201804,33.5,-8.4
201805,62.0,6.2
201806,66.5,0.7
201807,69.8,-0.1
201808,68.5,1.1
201809,61.2,-0.2
201810,43.6,-3.8
201811,27.3,-7.0
201812,25.1,1.3
201901,13.1,-3.2
201902,13.5,-3.1
201903,25.7,-6.0
201904,42.4,0.5
201905,51.8,-4.0
201906,63.6,-2.2
201907,71.3,1.4
201908,65.6,-1.8
201909,62.0,0.6
201910,45.0,-2.4
201911,28.2,-6.1
201912,23.5,-0.3
202001,21.5,5.2
202002,19.2,2.6
202003,34.3,2.6
202004,40.7,-1.2
202005,54.1,-1.7
202006,66.5,0.7
202007,71.9,2.0
202008,68.3,0.9
202009,57.3,-4.1
202010,41.3,-6.1
202011,38.6,4.3
202012,24.2,0.4
202101,20.3,4.0
202102,10.7,-5.9
202103,37.0,5.3
202104,45.0,3.1
202105,54.9,-0.9
202106,69.3,3.5
202107,69.4,-0.5
202108,69.2,1.8
202109,61.2,-0.2
202110,53.5,6.1
202111,33.9,-0.4
202112,24.9,1.1
202201,9.2,-7.1
202202,14.9,-1.7
202203,29.5,-2.2
202204,39.0,-2.9
202205,57.2,1.4
202206,65.4,-0.4
202207,69.3,-0.6
202208,67.4,0.0
202209,60.3,-1.1
202210,47.2,-0.2
