Wyoming, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,36.4,7.5
201502,39.8,6.3
201503,51.3,10.7
201504,54.6,3.5
201505,57.7,-3.6
201506,77.4,5.7
201507,78.4,-2.2
201508,80.0,1.3
201509,75.4,7.2
201510,61.5,5.7
201511,40.5,0.5
201512,31.6,0.7
201601,32.7,3.8
201602,41.0,7.5
201603,46.5,5.9
201604,53.5,2.4
201605,60.5,-0.8
201606,80.3,8.6
201607,82.9,2.3
201608,79.5,0.8
201609,69.2,1.0
201610,59.6,3.8
201611,49.5,9.5
201612,28.0,-2.9
201701,27.3,-1.6
201702,38.2,4.7
201703,49.7,9.1
201704,52.3,1.2
201705,62.6,1.3
201706,75.1,3.4
201707,84.8,4.2
201708,78.8,0.1
201709,67.6,-0.6
201710,54.8,-1.0
201711,45.8,5.8
201712,34.8,3.9
201801,35.8,6.9
201802,30.9,-2.6
201803,44.3,3.7
201804,53.3,2.2
201805,66.1,4.8
201806,75.3,3.6
201807,82.8,2.2
201808,79.1,0.4
201809,73.4,5.2
201810,53.3,-2.5
201811,39.2,-0.8
201812,32.0,1.1
201901,32.6,3.7
201902,27.4,-6.1
201903,39.0,-1.6
201904,52.8,1.7
201905,55.7,-5.6
201906,71.1,-0.6
201907,81.0,0.4
201908,80.7,2.0
201909,70.9,2.7
201910,47.5,-8.3
201911,41.8,1.8
201912,32.6,1.7
202001,33.8,4.9
202002,31.7,-1.8
202003,44.4,3.8
202004,51.4,0.3
202005,63.9,2.6
202006,74.3,2.6
202007,83.0,2.4
202008,84.8,6.1
202009,72.0,3.8
202010,55.6,-0.2
202011,46.3,6.3
202012,36.0,5.1
202101,34.3,5.4
202102,28.0,-5.5
202103,44.6,4.0
202104,51.4,0.3
202105,62.2,0.9
202106,81.2,9.5
202107,85.8,5.2
202108,79.6,0.9
202109,74.5,6.3
202110,55.7,-0.1
202111,48.0,8.0
202112,36.6,5.7
202201,34.7,5.8
202202,33.3,-0.2
202203,45.0,4.4
202204,49.1,-2.0
202205,59.3,-2.0
202206,73.9,2.2
