Wyoming, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,14.9,7.0
201502,17.0,6.0
201503,24.0,6.4
201504,28.1,1.6
201505,36.3,0.7
201506,48.5,4.9
201507,49.4,-0.6
201508,48.6,0.5
201509,43.5,4.6
201510,35.9,6.7
201511,17.8,-0.2
201512,11.1,0.8
201601,12.7,4.8
201602,19.2,8.2
201603,22.5,4.9
201604,30.2,3.7
201605,35.2,-0.4
201606,47.3,3.7
201607,50.6,0.6
201608,47.4,-0.7
201609,41.5,2.6
201610,33.4,4.2
201611,24.8,6.8
201612,5.6,-4.7
201701,6.1,-1.8
201702,17.3,6.3
201703,27.2,9.6
201704,28.0,1.5
201705,35.9,0.3
201706,44.9,1.3
201707,52.9,2.9
201708,48.2,0.1
201709,40.7,1.8
201710,27.3,-1.9
201711,23.6,5.6
201712,12.9,2.6
201801,14.4,6.5
201802,7.7,-3.3
201803,20.4,2.8
201804,26.2,-0.3
201805,39.7,4.1
201806,45.5,1.9
201807,51.8,1.8
201808,48.1,0.0
201809,40.9,2.0
201810,28.6,-0.6
201811,18.0,0.0
201812,11.0,0.7
201901,11.4,3.5
201902,6.3,-4.7
201903,15.1,-2.5
201904,29.4,2.9
201905,33.2,-2.4
201906,42.9,-0.7
201907,50.9,0.9
201908,49.1,1.0
201909,42.6,3.7
201910,21.0,-8.2
201911,18.6,0.6
201912,13.3,3.0
202001,13.9,6.0
202002,8.6,-2.4
202003,21.7,4.1
202004,23.7,-2.8
202005,36.7,1.1
202006,45.0,1.4
202007,50.3,0.3
202008,50.7,2.6
202009,39.0,0.1
202010,26.8,-2.4
202011,19.9,1.9
202012,12.9,2.6
202101,12.5,4.6
202102,6.8,-4.2
202103,19.7,2.1
202104,24.5,-2.0
202105,35.4,-0.2
202106,48.4,4.8
202107,54.3,4.3
202108,48.6,0.5
202109,41.7,2.8
202110,31.9,2.7
202111,25.2,7.2
202112,15.7,5.4
202201,11.3,3.4
202202,8.2,-2.8
202203,18.8,1.2
202204,23.0,-3.5
202205,34.1,-1.5
202206,43.9,0.3
