Wyoming, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-0.23
201502,-0.11
201503,-1.15
201504,-1.57
201505,1.75
201506,1.50
201507,1.79
201508,0.04
201509,-0.69
201510,-1.03
201511,-0.92
201512,-0.80
201601,-0.96
201602,-1.13
201603,0.15
201604,0.43
201605,0.76
201606,-0.99
201607,-1.64
201608,-2.02
201609,0.52
201610,0.79
201611,0.03
201612,0.59
201701,1.04
201702,2.09
201703,2.33
201704,3.09
201705,-0.19
201706,-0.72
201707,-1.19
201708,-1.49
201709,0.80
201710,0.52
201711,0.57
201712,0.46
201801,0.19
201802,0.31
201803,0.33
201804,0.01
201805,0.37
201806,0.42
201807,0.54
201808,-0.11
201809,-1.00
201810,-0.65
201811,-0.34
201812,-0.54
201901,-0.68
201902,0.35
201903,0.41
201904,0.42
201905,1.91
201906,1.74
201907,1.98
201908,1.86
201909,2.27
201910,2.71
201911,2.63
201912,2.35
202001,2.27
202002,2.52
202003,2.40
202004,0.04
202005,-0.65
202006,-0.80
202007,-1.39
202008,-2.44
202009,-2.73
202010,-2.49
202011,-2.80
202012,-3.04
202101,-3.48
202102,-3.36
202103,-3.64
202104,-4.05
202105,-4.12
202106,-5.14
202107,-5.95
202108,-5.63
202109,-5.73
202110,-4.42
202111,-4.83
202112,-4.29
202201,-4.32
202202,-4.63
202203,-5.13
202204,-4.80
202205,-3.92
202206,-4.15
