Wyoming, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,0.62,-0.44
201502,0.94,-0.03
201503,0.58,-0.67
201504,1.70,-0.07
201505,4.59,2.38
201506,1.89,0.05
201507,1.53,0.25
201508,0.91,-0.16
201509,0.64,-0.60
201510,1.11,-0.09
201511,1.09,0.06
201512,1.11,0.10
201601,0.87,-0.19
201602,0.80,-0.17
201603,1.99,0.74
201604,2.52,0.75
201605,2.46,0.25
201606,0.66,-1.18
201607,0.70,-0.58
201608,0.84,-0.23
201609,1.97,0.73
201610,1.81,0.61
201611,0.84,-0.19
201612,1.82,0.81
201701,1.66,0.60
201702,2.02,1.05
201703,1.88,0.63
201704,2.80,1.03
201705,1.80,-0.41
201706,1.09,-0.75
201707,0.97,-0.31
201708,0.94,-0.13
201709,2.21,0.97
201710,0.79,-0.41
201711,1.48,0.45
201712,1.02,0.01
201801,0.90,-0.16
201802,1.22,0.25
201803,1.40,0.15
201804,1.44,-0.33
201805,3.09,0.88
201806,2.10,0.26
201807,1.32,0.04
201808,0.95,-0.12
201809,0.35,-0.89
201810,1.28,0.08
201811,1.31,0.28
201812,0.76,-0.25
201901,0.90,-0.16
201902,1.40,0.43
201903,1.27,0.02
201904,1.97,0.20
201905,3.76,1.55
201906,1.66,-0.18
201907,1.31,0.03
201908,1.01,-0.06
201909,1.98,0.74
201910,1.19,-0.01
201911,1.08,0.05
201912,0.81,-0.20
202001,1.02,-0.04
202002,1.21,0.24
202003,1.03,-0.22
202004,1.32,-0.45
202005,1.25,-0.96
202006,1.67,-0.17
202007,0.69,-0.59
202008,0.30,-0.77
202009,0.82,-0.42
202010,1.01,-0.19
202011,0.69,-0.34
202012,0.71,-0.30
202101,0.68,-0.38
202102,1.29,0.32
202103,1.30,0.05
202104,1.21,-0.56
202105,1.74,-0.47
202106,0.82,-1.02
202107,1.10,-0.18
202108,1.47,0.40
202109,0.85,-0.39
202110,2.09,0.89
202111,0.54,-0.49
202112,1.30,0.29
202201,0.79,-0.27
202202,0.53,-0.44
202203,0.86,-0.39
202204,1.91,0.14
202205,2.63,0.42
202206,1.11,-0.73
202207,0.84,-0.44
202208,1.39,0.32
202209,1.42,0.18
202210,0.79,-0.41
