Wyoming, Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,25.6,2.8
201502,28.4,5.8
201503,37.7,4.3
201504,41.3,1.8
201505,47.0,-1.4
201506,63.0,2.0
201507,63.9,-3.4
201508,64.3,-0.6
201509,59.4,2.4
201510,48.7,6.0
201511,29.2,-3.6
201512,21.4,-1.1
201601,22.7,-0.1
201602,30.1,7.5
201603,34.5,1.1
201604,41.8,2.3
201605,47.9,-0.5
201606,63.8,2.8
201607,66.8,-0.5
201608,63.5,-1.4
201609,55.4,-1.6
201610,46.5,3.8
201611,37.1,4.3
201612,16.8,-5.7
201701,16.7,-6.1
201702,27.8,5.2
201703,38.4,5.0
201704,40.1,0.6
201705,49.2,0.8
201706,60.0,-1.0
201707,68.9,1.6
201708,63.5,-1.4
201709,54.2,-2.8
201710,41.1,-1.6
201711,34.7,1.9
201712,23.8,1.3
201801,25.1,2.3
201802,19.3,-3.3
201803,32.3,-1.1
201804,39.7,0.2
201805,52.9,4.5
201806,60.4,-0.6
201807,67.3,0.0
201808,63.6,-1.3
201809,57.2,0.2
201810,41.0,-1.7
201811,28.6,-4.2
201812,21.5,-1.0
201901,22.0,-0.8
201902,16.8,-5.8
201903,27.0,-6.4
201904,41.1,1.6
201905,44.4,-4.0
201906,57.0,-4.0
201907,66.0,-1.3
201908,64.9,0.0
201909,56.7,-0.3
201910,34.2,-8.5
201911,30.2,-2.6
201912,23.0,0.5
202001,23.8,1.0
202002,20.2,-2.4
202003,33.1,-0.3
202004,37.6,-1.9
202005,50.3,1.9
202006,59.7,-1.3
202007,66.6,-0.7
202008,67.7,2.8
202009,55.5,-1.5
202010,41.2,-1.5
202011,33.1,0.3
202012,24.5,2.0
202101,23.4,0.6
202102,17.4,-5.2
202103,32.2,-1.2
202104,38.0,-1.5
202105,48.8,0.4
202106,64.8,3.8
202107,70.1,2.8
202108,64.1,-0.8
202109,58.1,1.1
202110,43.8,1.1
202111,36.6,3.8
202112,26.2,3.7
202201,23.0,0.2
202202,20.8,-1.8
202203,31.9,-1.5
202204,36.0,-3.5
202205,46.7,-1.7
202206,58.9,-2.1
202207,68.9,1.6
202208,67.2,2.3
202209,59.7,2.7
202210,44.7,2.0
