year_revisited,state,season,colony_lost_pct
2015,alabama,Summer,14.0
2015,alabama,Winter,26.0
2015,arizona,Summer,16.0
2015,arizona,Winter,13.0
2015,arkansas,Summer,22.0
2015,arkansas,Winter,11.0
2015,california,Summer,10.0
2015,california,Winter,15.0
2015,colorado,Summer,11.5
2015,colorado,Winter,12.0
2015,connecticut,Summer,2.0
2015,connecticut,Winter,22.0
2015,florida,Summer,16.0
2015,florida,Winter,13.0
2015,georgia,Summer,15.5
2015,georgia,Winter,14.0
2015,hawaii,Summer,10.0
2015,hawaii,Winter,4.0
2015,idaho,Summer,10.0
2015,idaho,Winter,4.0
2015,illinois,Summer,12.0
2015,illinois,Winter,40.0
2015,indiana,Summer,10.5
2015,indiana,Winter,22.0
2015,iowa,Summer,7.0
2015,iowa,Winter,18.0
2015,kansas,Summer,10.5
2015,kansas,Winter,23.0
2015,kentucky,Summer,12.5
2015,kentucky,Winter,39.0
2015,louisiana,Summer,4.0
2015,louisiana,Winter,16.0
2015,maine,Summer,9.5
2015,maine,Winter,6.0
2015,maryland,Summer,6.0
2015,maryland,Winter,41.0
2015,massachusetts,Summer,5.0
2015,massachusetts,Winter,22.0
2015,michigan,Summer,9.5
2015,michigan,Winter,19.0
2015,minnesota,Summer,17.0
2015,minnesota,Winter,5.0
2015,mississippi,Summer,11.0
2015,mississippi,Winter,11.0
2015,missouri,Summer,6.5
2015,missouri,Winter,15.0
2015,montana,Summer,4.5
2015,montana,Winter,6.0
2015,nebraska,Summer,7.0
2015,nebraska,Winter,8.0
2015,new jersey,Summer,5.5
2015,new jersey,Winter,12.0
2015,new mexico,Summer,18.5
2015,new mexico,Winter,10.0
2015,new york,Summer,8.5
2015,new york,Winter,22.0
2015,north carolina,Summer,10.0
2015,north carolina,Winter,27.0
2015,north dakota,Summer,12.5
2015,north dakota,Winter,1.0
2015,ohio,Summer,9.5
2015,ohio,Winter,48.0
2015,oklahoma,Summer,4.5
2015,oklahoma,Winter,23.0
2015,oregon,Summer,7.5
2015,oregon,Winter,8.0
2015,other states,Summer,12.0
2015,other states,Winter,23.0
2015,pennsylvania,Summer,7.5
2015,pennsylvania,Winter,31.0
